Geneid	Chr	Start	End	Strand	Length	align/bam/SRR20959676	align/bam/SRR20959677	align/bam/SRR20959678	align/bam/SRR20959679	align/bam/SRR20959680	align/bam/SRR20959681	align/bam/SRR20959682	align/bam/SRR20959683
SAUSA300_RS03950	NC_007793.1	814619	815701	+	1083	18	8	0	0	34	16	91	0
SAUSA300_RS03955	NC_007793.1	815694	816368	+	675	15	2	2	0	6	8	14	0
SAUSA300_RS03960	NC_007793.1	816429	817001	+	573	8	0	6	16	4	8	264	2
SAUSA300_RS03965	NC_007793.1	817415	819946	+	2532	887	226	1548	558	536	604	3433	96
SAUSA300_RS03970	NC_007793.1	819988	820092	+	105	0	0	4	0	0	1	25	0
SAUSA300_RS03975	NC_007793.1	820261	821371	+	1111	54	12	40	28	42	10	185	28
SAUSA300_RS03980	NC_007793.1	821525	821632	+	108	0	1	27	0	0	0	6	0
SAUSA300_RS03985	NC_007793.1	821780	822619	+	840	146	5	116	20	8	0	373	34
SAUSA300_RS03990	NC_007793.1	822793	823443	+	651	0	0	0	0	0	0	0	0
SAUSA300_RS03995	NC_007793.1	823440	823676	+	237	0	0	0	0	0	0	0	0
SAUSA300_RS04000	NC_007793.1	823945	825930	+	1986	254	34	64	112	94	84	232	36
SAUSA300_RS04005	NC_007793.1	825938	828784	+	2847	3620	814	824	1587	1535	1124	1631	570
SAUSA300_RS04010	NC_007793.1	829446	830378	+	933	110	10	4	98	80	82	372	26
SAUSA300_RS04015	NC_007793.1	830384	831223	+	840	40	8	44	10	38	74	118	22
SAUSA300_RS04020	NC_007793.1	831231	831716	+	486	39	3	12	36	0	17	75	3
SAUSA300_RS04025	NC_007793.1	831724	833163	+	1440	299	100	292	117	197	196	175	113
SAUSA300_RS04030	NC_007793.1	833230	834165	+	936	2087	240	1495	785	1864	1270	2763	355
SAUSA300_RS04040	NC_007793.1	835045	835956	+	912	8	26	52	6	30	18	26	8
SAUSA300_RS04045	NC_007793.1	835953	836948	+	996	98	34	126	77	73	68	131	37
SAUSA300_RS04050	NC_007793.1	837058	838002	+	945	321	51	67	152	164	131	236	43
SAUSA300_RS04060	NC_007793.1	838576	839163	+	588	79	4	54	27	70	1	168	8
SAUSA300_RS04065	NC_007793.1	839406	840308	-	903	169	24	76	116	234	44	250	16
SAUSA300_RS04070	NC_007793.1	841010	841639	+	630	26	0	18	22	28	0	24	0
SAUSA300_RS04075	NC_007793.1	842281	843294	+	1014	3301	218	998	1744	3161	2027	2126	392
SAUSA300_RS04080	NC_007793.1	843347	844357	+	1011	4478	287	1225	2825	2966	1638	1864	457
SAUSA300_RS04085	NC_007793.1	844496	845686	+	1191	4612	221	639	2838	2400	1970	823	477
SAUSA300_RS04090	NC_007793.1	845808	846569	+	762	9193	359	880	3273	3955	3054	1769	749
SAUSA300_RS04095	NC_007793.1	846572	848089	+	1518	4051	346	1549	1934	2571	1936	2783	361
SAUSA300_RS04100	NC_007793.1	848219	849523	+	1305	6503	448	1385	4569	4071	2255	6774	773
SAUSA300_RS04105	NC_007793.1	849863	850321	+	459	12	22	10	18	12	18	6	10
SAUSA300_RS04110	NC_007793.1	850388	850621	+	234	12	0	68	0	2	2	79	0
SAUSA300_RS04115	NC_007793.1	850737	851477	+	741	32	14	102	32	40	28	187	2
SAUSA300_RS04120	NC_007793.1	851511	853883	+	2373	2073	232	820	536	547	604	1761	383
SAUSA300_RS04125	NC_007793.1	853905	854369	+	465	453	67	62	100	154	102	184	72
SAUSA300_RS15205	NC_007793.1	854460	854821	+	362	9952357	2969382	5168628	6338287	6145001	8281851	6134940	2500086
SAUSA300_RS04135	NC_007793.1	855691	856014	-	324	2	3	0	0	0	0	0	0
SAUSA300_RS15975	NC_007793.1	856030	856176	-	147	0	0	0	0	0	0	0	0
SAUSA300_RS04145	NC_007793.1	856368	857096	-	729	0	0	14	0	4	0	0	0
SAUSA300_RS04150	NC_007793.1	857532	857687	+	156	2	0	0	0	0	0	0	0
SAUSA300_RS04160	NC_007793.1	858355	858885	+	531	0	0	10	0	0	4	23	0
SAUSA300_RS04165	NC_007793.1	859148	861949	+	2802	671174	38743	13460	344733	422745	184672	68797	37067
SAUSA300_RS04170	NC_007793.1	862170	863696	+	1527	2	0	0	0	0	2	12	0
SAUSA300_RS04175	NC_007793.1	864047	865069	+	1023	2	0	18	0	0	0	0	16
SAUSA300_RS04180	NC_007793.1	865404	865874	+	471	0	0	8	0	0	0	0	0
SAUSA300_RS04185	NC_007793.1	866215	866901	+	687	0	0	0	2	2	0	0	0
SAUSA300_RS04190	NC_007793.1	867258	867458	+	201	134	42	66	52	72	38	412	118
SAUSA300_RS04195	NC_007793.1	867954	868172	-	219	0	0	0	0	0	0	0	0
SAUSA300_RS04200	NC_007793.1	868234	868518	-	285	4	0	2	2	5	0	3	0
SAUSA300_RS04205	NC_007793.1	868606	869175	-	570	2	0	0	8	1	2	1	3
SAUSA300_RS04210	NC_007793.1	869363	869551	-	189	0	0	22	2	0	2	0	0
SAUSA300_RS04215	NC_007793.1	869580	869840	-	261	0	3	4	0	2	9	1	1
SAUSA300_RS04220	NC_007793.1	870181	870384	+	204	19	36	70	17	20	67	52	6
SAUSA300_RS04225	NC_007793.1	870381	870617	-	237	8	11	42	9	19	13	14	1
SAUSA300_RS04230	NC_007793.1	870842	871423	+	582	0	2	2	2	0	4	49	0
SAUSA300_RS04235	NC_007793.1	871496	872113	-	618	2	6	16	12	1	0	8	0
SAUSA300_RS04240	NC_007793.1	872268	872762	-	495	60	18	114	54	47	30	941	18
SAUSA300_RS04245	NC_007793.1	873161	873583	-	423	13	0	12	6	3	0	2	0
SAUSA300_RS04250	NC_007793.1	873731	874447	+	717	10	6	0	12	11	4	43	0
SAUSA300_RS04255	NC_007793.1	874530	875069	+	540	19	8	16	4	16	18	110	4
SAUSA300_RS04260	NC_007793.1	875219	875539	-	321	130	0	12	14	28	24	76	60
SAUSA300_RS04265	NC_007793.1	875683	876039	+	357	0	0	10	0	0	1	10	0
SAUSA300_RS04270	NC_007793.1	876197	876577	+	381	210	2	10	84	166	69	71	48
SAUSA300_RS04280	NC_007793.1	876756	877634	+	879	12	0	1	23	36	12	28	23
SAUSA300_RS04290	NC_007793.1	878376	878762	+	387	2	0	12	0	2	5	3	0
SAUSA300_RS04295	NC_007793.1	878755	879051	+	297	4	2	18	2	21	5	0	2
SAUSA300_RS04300	NC_007793.1	879301	880326	+	1026	68	34	42	48	101	18	227	45
SAUSA300_RS04305	NC_007793.1	880319	881014	+	696	135	24	29	263	362	90	144	43
SAUSA300_RS04310	NC_007793.1	881032	881853	+	822	23	6	76	0	14	20	70	6
SAUSA300_RS04315	NC_007793.1	881996	883216	-	1221	0	0	0	0	0	0	0	0
SAUSA300_RS04320	NC_007793.1	883304	884032	-	729	0	0	0	0	0	0	0	0
SAUSA300_RS04325	NC_007793.1	884056	884784	-	729	0	0	0	0	0	0	0	0
SAUSA300_RS04330	NC_007793.1	884801	885259	-	459	0	0	0	0	0	0	6	0
SAUSA300_RS04335	NC_007793.1	885271	885603	-	333	0	0	0	0	0	0	0	0
SAUSA300_RS04340	NC_007793.1	885796	886059	+	264	0	0	0	0	0	0	0	0
SAUSA300_RS04345	NC_007793.1	886052	886324	+	273	0	0	0	0	0	0	0	0
SAUSA300_RS15215	NC_007793.1	886336	886509	+	174	0	0	0	0	0	0	0	0
SAUSA300_RS04350	NC_007793.1	886476	886679	+	204	0	0	0	0	0	0	0	0
SAUSA300_RS04355	NC_007793.1	886681	887064	+	384	7	0	0	0	0	0	0	0
SAUSA300_RS04360	NC_007793.1	887065	887313	+	249	0	0	0	0	0	0	0	0
SAUSA300_RS04365	NC_007793.1	887405	889777	+	2373	0	0	0	0	0	0	0	0
SAUSA300_RS04370	NC_007793.1	890448	890792	+	345	0	0	0	0	0	0	0	0
SAUSA300_RS04375	NC_007793.1	891017	891223	+	207	0	0	0	0	0	0	0	0
SAUSA300_RS04380	NC_007793.1	891210	892268	+	1059	0	0	0	0	0	0	0	0
SAUSA300_RS04385	NC_007793.1	892452	892943	+	492	0	0	0	0	0	0	0	0
SAUSA300_RS04390	NC_007793.1	893372	894340	+	969	0	0	0	0	0	0	0	0
SAUSA300_RS04395	NC_007793.1	894575	895129	-	555	0	0	0	0	5	0	106	0
SAUSA300_RS04400	NC_007793.1	896163	896357	+	195	8	0	0	4	2	2	0	0
SAUSA300_RS04405	NC_007793.1	896590	897441	-	852	52	16	34	32	69	58	116	21
SAUSA300_RS04410	NC_007793.1	897769	898530	+	762	28	6	12	1	10	6	34	2
SAUSA300_RS04415	NC_007793.1	898628	899935	+	1308	2910	454	571	278	1228	955	3750	620
SAUSA300_RS04420	NC_007793.1	900041	901291	+	1251	15829	1791	1632	2649	5720	2240	12733	4323
SAUSA300_RS04425	NC_007793.1	901281	901745	+	465	324	86	117	71	120	122	232	93
SAUSA300_RS04430	NC_007793.1	901896	903293	+	1398	6008	1171	1540	1098	6258	1044	6298	1145
SAUSA300_RS04435	NC_007793.1	903480	903617	+	138	0	0	0	1	0	0	0	0
SAUSA300_RS04440	NC_007793.1	903623	903937	-	315	0	4	6	0	0	0	0	0
SAUSA300_RS04445	NC_007793.1	904302	905342	+	1041	443	106	100	24	194	145	201	92
SAUSA300_RS04450	NC_007793.1	905356	906423	+	1068	600	624	32	186	884	1529	266	54
SAUSA300_RS04455	NC_007793.1	906490	906588	+	99	0	0	0	0	0	0	0	0
SAUSA300_RS04460	NC_007793.1	906636	907484	+	849	36	0	24	0	18	2	19	10
SAUSA300_RS04465	NC_007793.1	907497	908324	+	828	343	105	82	152	212	108	452	67
SAUSA300_RS04470	NC_007793.1	908351	909670	+	1320	222	10	89	24	49	120	318	53
SAUSA300_RS04475	NC_007793.1	909754	910671	+	918	1239	228	170	649	844	463	1199	316
SAUSA300_RS04480	NC_007793.1	910801	911184	+	384	0	10	22	4	16	4	10	14
SAUSA300_RS04485	NC_007793.1	911263	911529	-	267	0	0	5	0	0	0	5	0
SAUSA300_RS04490	NC_007793.1	911627	912061	+	435	12	0	5	4	2	6	10	0
SAUSA300_RS04495	NC_007793.1	912061	912840	+	780	20	4	2	0	8	14	83	0
SAUSA300_RS04500	NC_007793.1	912873	913832	+	960	86	119	106	84	128	74	475	26
SAUSA300_RS04505	NC_007793.1	914086	914196	+	111	0	0	0	0	0	0	0	0
SAUSA300_RS04510	NC_007793.1	914244	914396	+	153	0	0	0	0	0	0	0	0
SAUSA300_RS04515	NC_007793.1	914412	915869	+	1458	1310	281	727	328	718	530	1608	565
SAUSA300_RS04520	NC_007793.1	915866	917080	+	1215	382	170	383	98	281	142	406	246
SAUSA300_RS04525	NC_007793.1	917098	917334	+	237	186	61	72	56	186	110	127	73
SAUSA300_RS04530	NC_007793.1	917331	918506	+	1176	408	173	380	115	281	143	527	284
SAUSA300_RS04535	NC_007793.1	918769	919011	-	243	14	4	0	2	14	5	304	4
SAUSA300_RS04540	NC_007793.1	919112	919435	+	324	0	0	0	0	0	0	0	0
SAUSA300_RS04545	NC_007793.1	919494	920558	-	1065	1424	370	90	150	520	235	766	332
SAUSA300_RS04550	NC_007793.1	920875	921111	+	237	29	3	0	4	15	2	2	1
SAUSA300_RS04555	NC_007793.1	921124	921483	+	360	174	43	126	96	177	106	386	78
SAUSA300_RS04560	NC_007793.1	921937	923145	+	1209	426	66	304	246	248	172	724	112
SAUSA300_RS04565	NC_007793.1	923276	924751	+	1476	144	22	48	246	223	125	296	20
SAUSA300_RS04570	NC_007793.1	925162	926478	+	1317	961	149	791	35	426	319	2193	458
SAUSA300_RS04575	NC_007793.1	926497	926871	+	375	287	21	78	18	42	94	895	62
SAUSA300_RS04580	NC_007793.1	926927	928081	-	1155	14	0	22	4	20	8	28	4
SAUSA300_RS04585	NC_007793.1	928330	928686	-	357	47	2	26	12	32	10	173	6
SAUSA300_RS04590	NC_007793.1	928664	928957	-	294	57	20	99	19	89	53	192	19
SAUSA300_RS04595	NC_007793.1	928957	929436	-	480	81	47	191	30	76	47	429	31
SAUSA300_RS04600	NC_007793.1	929438	930934	-	1497	365	114	411	295	324	260	953	108
SAUSA300_RS04605	NC_007793.1	930927	931268	-	342	47	14	12	34	53	19	112	1
SAUSA300_RS04610	NC_007793.1	931268	931696	-	429	95	16	48	2	71	38	261	23
SAUSA300_RS04615	NC_007793.1	931689	934094	-	2406	1389	232	617	579	723	569	1851	279
SAUSA300_RS04620	NC_007793.1	934225	934608	-	384	6	12	0	10	11	11	45	0
SAUSA300_RS04625	NC_007793.1	934672	935265	+	594	140	26	10	76	123	57	107	41
SAUSA300_RS04630	NC_007793.1	935681	936058	+	378	50	10	14	18	28	24	206	10
SAUSA300_RS04635	NC_007793.1	936420	937547	+	1128	343	15	34	132	172	24	122	50
SAUSA300_RS04640	NC_007793.1	937855	939045	+	1191	8246	1042	985	4265	6369	2130	5956	1494
SAUSA300_RS04645	NC_007793.1	939154	940398	+	1245	74356	7442	27062	23873	36150	14331	50941	15297
SAUSA300_RS04655	NC_007793.1	940901	941830	-	930	76	47	51	13	61	28	121	28
SAUSA300_RS04660	NC_007793.1	942072	943451	-	1380	2101	440	1372	1223	1863	958	4732	1139
SAUSA300_RS04665	NC_007793.1	943441	944646	-	1206	609	126	256	262	604	448	1386	264
SAUSA300_RS04670	NC_007793.1	944997	946328	+	1332	544	215	160	408	484	344	1656	140
SAUSA300_RS04675	NC_007793.1	946653	947228	+	576	1	11	38	0	0	12	6	5
SAUSA300_RS04680	NC_007793.1	947233	947757	+	525	36	20	34	12	24	17	29	3
SAUSA300_RS04685	NC_007793.1	947773	948348	+	576	28	0	8	0	2	18	15	2
SAUSA300_RS04690	NC_007793.1	948508	951984	+	3477	277	94	245	44	159	383	894	62
SAUSA300_RS04695	NC_007793.1	951985	955638	+	3654	1084	218	285	1023	994	993	2099	228
SAUSA300_RS04700	NC_007793.1	955804	956706	+	903	601	86	130	164	303	306	671	190
SAUSA300_RS04705	NC_007793.1	957035	957424	+	390	0	0	0	12	4	0	5	0
SAUSA300_RS04710	NC_007793.1	957595	958911	-	1317	2442	366	267	1350	3093	776	4060	392
SAUSA300_RS04715	NC_007793.1	958963	959787	-	825	65	51	54	36	89	58	231	13
SAUSA300_RS04720	NC_007793.1	959901	960209	+	309	1159	374	99	1698	2210	45	215	440
SAUSA300_RS04725	NC_007793.1	960756	962570	+	1815	18	0	0	0	4	2	10	0
SAUSA300_RS04730	NC_007793.1	962773	965382	+	2610	23716	1756	1340	3165	2841	821	10158	3683
SAUSA300_RS04735	NC_007793.1	965441	966310	-	870	3	0	10	4	5	0	0	0
SAUSA300_RS04740	NC_007793.1	966420	967565	+	1146	10	0	0	2	0	0	0	0
SAUSA300_RS04745	NC_007793.1	967549	968190	+	642	0	0	0	0	0	0	0	0
SAUSA300_RS04750	NC_007793.1	968183	969301	+	1119	0	0	0	0	0	0	0	0
SAUSA300_RS04755	NC_007793.1	969285	969800	+	516	0	0	0	0	0	0	0	0
SAUSA300_RS04760	NC_007793.1	970111	970545	+	435	9	0	8	40	8	10	41	6
SAUSA300_RS04765	NC_007793.1	970802	970987	-	186	16	8	8	10	4	0	133	6
SAUSA300_RS04770	NC_007793.1	971282	972223	+	942	52	14	160	28	18	20	304	48
SAUSA300_RS04775	NC_007793.1	972235	973479	+	1245	470	66	96	222	270	132	1015	64
SAUSA300_RS04785	NC_007793.1	974149	975075	+	927	26	6	78	34	44	28	40	20
SAUSA300_RS04790	NC_007793.1	975075	976145	+	1071	590	84	442	273	306	267	914	151
SAUSA300_RS04795	NC_007793.1	976162	977244	+	1083	548	58	636	200	150	144	1432	136
SAUSA300_RS04800	NC_007793.1	977234	978175	+	942	696	152	429	418	654	504	1184	134
SAUSA300_RS04805	NC_007793.1	978194	979849	+	1656	299	100	200	260	394	202	606	84
SAUSA300_RS04810	NC_007793.1	980061	981776	+	1716	0	0	0	0	3	0	0	0
SAUSA300_RS04815	NC_007793.1	981827	982813	+	987	0	2	0	8	1	4	5	0
SAUSA300_RS04820	NC_007793.1	982816	983796	+	981	0	0	5	0	0	2	8	0
SAUSA300_RS04825	NC_007793.1	983789	984751	+	963	0	0	0	4	0	0	0	0
SAUSA300_RS04830	NC_007793.1	984763	985644	+	882	0	0	0	0	2	0	4	0
SAUSA300_RS04835	NC_007793.1	985686	986675	-	990	118	18	24	38	90	50	190	28
SAUSA300_RS04840	NC_007793.1	986970	987365	+	396	7672	3508	4634	6589	4956	7344	25702	1905
SAUSA300_RS04845	NC_007793.1	987736	988455	+	720	592	242	634	414	711	223	842	108
SAUSA300_RS04855	NC_007793.1	989609	991417	+	1809	80	2	52	26	28	22	136	14
SAUSA300_RS04860	NC_007793.1	991877	992683	-	807	71	18	57	43	111	42	165	11
SAUSA300_RS04865	NC_007793.1	992706	993071	-	366	16	12	4	2	17	11	66	6
SAUSA300_RS04870	NC_007793.1	993175	993768	-	594	4	0	0	0	6	10	34	0
SAUSA300_RS04875	NC_007793.1	993954	994301	+	348	6	0	2	0	0	0	48	8
SAUSA300_RS04880	NC_007793.1	994318	994953	+	636	168	265	656	126	169	296	234	78
SAUSA300_RS04885	NC_007793.1	994970	995779	+	810	190	62	216	97	137	139	563	60
SAUSA300_RS04890	NC_007793.1	995776	996630	+	855	49	6	16	9	82	81	189	13
SAUSA300_RS04895	NC_007793.1	996651	998036	+	1386	861	244	864	428	469	392	778	207
SAUSA300_RS04900	NC_007793.1	998046	999890	+	1845	362	130	462	165	228	276	470	134
SAUSA300_RS04905	NC_007793.1	1000168	1000938	+	771	10	0	37	19	19	17	84	0
SAUSA300_RS04910	NC_007793.1	1001133	1002218	-	1086	142	70	234	38	81	48	194	84
SAUSA300_RS04915	NC_007793.1	1002560	1004128	+	1569	82	2	102	14	70	34	120	96
SAUSA300_RS04920	NC_007793.1	1004270	1005028	+	759	2	0	0	4	2	6	3	0
SAUSA300_RS04925	NC_007793.1	1005222	1005731	+	510	54	4	46	28	26	10	72	20
SAUSA300_RS04930	NC_007793.1	1005844	1007034	-	1191	362	126	186	65	162	104	440	61
SAUSA300_RS04935	NC_007793.1	1007012	1008187	-	1176	348	85	65	132	289	127	488	62
SAUSA300_RS04940	NC_007793.1	1008620	1010101	+	1482	106	22	194	68	62	110	52	72
SAUSA300_RS04945	NC_007793.1	1010094	1010345	+	252	0	3	0	0	4	0	0	0
SAUSA300_RS04950	NC_007793.1	1010345	1011907	+	1563	114	46	76	96	93	71	16	48
SAUSA300_RS04955	NC_007793.1	1012209	1013012	+	804	112	33	16	70	20	13	164	44
SAUSA300_RS04960	NC_007793.1	1013231	1015555	+	2325	16	0	10	6	18	13	58	2
SAUSA300_RS04965	NC_007793.1	1015572	1016930	+	1359	124	64	94	30	50	42	228	44
SAUSA300_RS04970	NC_007793.1	1017069	1018580	+	1512	16	14	134	14	12	88	150	14
SAUSA300_RS04975	NC_007793.1	1018760	1018848	-	89	0	0	0	0	0	0	0	0
SAUSA300_RS04980	NC_007793.1	1018851	1018925	-	75	0	0	0	0	0	0	0	0
SAUSA300_RS04985	NC_007793.1	1019067	1019636	-	570	2	0	0	10	0	0	12	0
SAUSA300_RS04990	NC_007793.1	1019846	1020064	+	219	1	0	24	0	0	0	12	0
SAUSA300_RS04995	NC_007793.1	1020145	1021131	-	987	3	6	32	0	2	2	11	0
SAUSA300_RS05000	NC_007793.1	1021330	1021506	+	177	4	2	15	4	15	7	9	11
SAUSA300_RS05005	NC_007793.1	1021521	1022123	+	603	0	17	20	0	29	6	10	4
SAUSA300_RS15985	NC_007793.1	1022439	1022501	+	63	12	0	34	0	8	10	24	12
SAUSA300_RS05015	NC_007793.1	1023040	1023141	+	102	0	0	0	0	0	0	0	0
SAUSA300_RS15255	NC_007793.1	1023151	1023423	+	273	0	0	0	0	0	0	0	0
SAUSA300_RS05020	NC_007793.1	1023467	1025431	+	1965	0	0	32	0	0	0	10	0
SAUSA300_RS05025	NC_007793.1	1025434	1025754	+	321	0	0	0	0	0	0	0	0
SAUSA300_RS05030	NC_007793.1	1025751	1026392	+	642	0	0	0	0	0	0	0	0
SAUSA300_RS15260	NC_007793.1	1026480	1026770	-	291	50	0	20	6	23	0	20	8
SAUSA300_RS05040	NC_007793.1	1027049	1027336	+	288	0	0	0	0	0	0	0	0
SAUSA300_RS05045	NC_007793.1	1027342	1028823	+	1482	0	0	0	0	0	1	0	0
SAUSA300_RS05050	NC_007793.1	1028912	1029268	-	357	0	0	8	0	0	0	0	0
SAUSA300_RS05055	NC_007793.1	1029745	1030704	+	960	0	0	4	0	0	0	4	0
SAUSA300_RS05060	NC_007793.1	1030750	1030881	-	132	2	0	7	0	4	2	0	5
SAUSA300_RS05065	NC_007793.1	1030945	1031160	-	216	13	0	14	4	2	7	0	6
SAUSA300_RS05070	NC_007793.1	1031325	1031876	+	552	1	0	0	0	0	0	0	0
SAUSA300_RS05075	NC_007793.1	1031928	1032866	-	939	91	9	26	44	48	53	143	4
SAUSA300_RS15990	NC_007793.1	1033017	1033121	+	105	0	1	0	0	0	1	1	0
SAUSA300_RS05080	NC_007793.1	1033087	1034409	+	1323	50	33	26	8	30	12	42	6
SAUSA300_RS05085	NC_007793.1	1034396	1036069	+	1674	192	161	168	177	151	236	313	48
SAUSA300_RS05090	NC_007793.1	1036056	1036859	+	804	92	30	15	20	56	58	255	20
SAUSA300_RS05095	NC_007793.1	1036852	1037673	+	822	1310	188	84	334	314	422	2184	298
SAUSA300_RS05100	NC_007793.1	1037912	1038241	-	330	27	0	6	0	5	0	1	0
SAUSA300_RS05105	NC_007793.1	1038279	1039460	-	1182	181	10	78	2	36	12	124	6
SAUSA300_RS05110	NC_007793.1	1039542	1040552	-	1011	430	20	35	18	42	36	20	18
SAUSA300_RS05115	NC_007793.1	1041080	1042234	-	1155	114	8	24	6	52	24	198	28
SAUSA300_RS05120	NC_007793.1	1042430	1043440	-	1011	0	24	12	6	44	14	4	12
SAUSA300_RS05125	NC_007793.1	1043593	1044012	+	420	0	4	0	15	12	2	0	0
SAUSA300_RS05130	NC_007793.1	1044039	1044149	+	111	0	0	0	2	0	0	0	0
SAUSA300_RS05135	NC_007793.1	1044219	1047989	-	3771	4197	643	1312	8198	3925	3696	18672	1248
SAUSA300_RS05140	NC_007793.1	1048217	1048651	-	435	0	0	14	1	2	12	7	4
SAUSA300_RS05145	NC_007793.1	1048806	1049276	-	471	83	13	39	25	66	15	94	27
SAUSA300_RS05150	NC_007793.1	1049324	1050541	-	1218	175	26	68	52	44	14	548	12
SAUSA300_RS05155	NC_007793.1	1050992	1052185	+	1194	6	0	0	0	0	0	14	4
SAUSA300_RS05160	NC_007793.1	1052722	1053000	-	279	975	110	261	420	375	255	485	415
SAUSA300_RS05165	NC_007793.1	1053009	1053614	-	606	1608	258	696	588	671	440	2446	583
SAUSA300_RS05170	NC_007793.1	1053604	1055592	-	1989	8922	1830	4942	4925	6230	4139	26604	2847
SAUSA300_RS05175	NC_007793.1	1055592	1056692	-	1101	3787	593	1550	1803	1886	1213	8407	1052
SAUSA300_RS05180	NC_007793.1	1056994	1057116	+	123	0	10	0	0	0	0	0	6
SAUSA300_RS05185	NC_007793.1	1057264	1057581	-	318	74	12	50	0	12	13	125	28
SAUSA300_RS05190	NC_007793.1	1058386	1059246	-	861	1608	434	518	1320	1474	414	1553	549
SAUSA300_RS05195	NC_007793.1	1059447	1059929	+	483	142	0	12	91	81	48	41	49
SAUSA300_RS05200	NC_007793.1	1059916	1061040	+	1125	23	2	30	35	33	21	67	16
SAUSA300_RS05205	NC_007793.1	1061044	1061748	+	705	3	3	2	0	3	1	19	6
SAUSA300_RS05210	NC_007793.1	1061748	1062011	+	264	0	0	10	3	1	2	4	1
SAUSA300_RS05215	NC_007793.1	1062013	1062684	+	672	57	3	24	29	35	19	14	14
SAUSA300_RS05220	NC_007793.1	1062677	1064866	+	2190	378	52	552	152	100	228	400	106
SAUSA300_RS05225	NC_007793.1	1064845	1066329	+	1485	652	82	514	294	212	747	543	260
SAUSA300_RS05230	NC_007793.1	1066322	1067350	+	1029	141	4	98	42	65	92	193	52
SAUSA300_RS05235	NC_007793.1	1067353	1067919	+	567	33	2	116	5	18	34	63	16
SAUSA300_RS05240	NC_007793.1	1067934	1069412	+	1479	869	164	579	299	452	208	436	168
SAUSA300_RS05245	NC_007793.1	1069434	1070681	+	1248	166	62	254	99	82	94	219	66
SAUSA300_RS05250	NC_007793.1	1070946	1071752	-	807	6	14	32	5	11	20	43	8
SAUSA300_RS05255	NC_007793.1	1071745	1073145	-	1401	597	98	374	202	165	343	1361	291
SAUSA300_RS05260	NC_007793.1	1073160	1073735	-	576	107	42	115	49	62	88	335	48
SAUSA300_RS05270	NC_007793.1	1074319	1074453	-	135	0	4	2	0	0	0	0	0
SAUSA300_RS05275	NC_007793.1	1074605	1075900	+	1296	610	282	1073	128	302	342	976	186
SAUSA300_RS05280	NC_007793.1	1076325	1077497	+	1173	114	60	220	36	54	95	136	39
SAUSA300_RS05285	NC_007793.1	1077551	1078093	+	543	26	24	39	30	22	14	119	15
SAUSA300_RS05290	NC_007793.1	1078247	1078513	+	267	56	16	27	58	49	32	172	29
SAUSA300_RS05295	NC_007793.1	1078516	1080234	+	1719	3697	503	2788	1226	1398	1681	3516	1087
SAUSA300_RS05300	NC_007793.1	1080471	1080704	-	234	3	0	0	0	0	0	0	0
SAUSA300_RS05305	NC_007793.1	1080902	1082263	+	1362	100	47	80	40	77	195	240	46
SAUSA300_RS05310	NC_007793.1	1082260	1083279	+	1020	182	118	439	56	160	222	78	124
SAUSA300_RS05315	NC_007793.1	1083412	1084074	+	663	139	76	38	66	153	66	164	26
SAUSA300_RS05325	NC_007793.1	1084423	1086120	-	1698	1760	527	622	651	1186	561	3856	541
SAUSA300_RS05330	NC_007793.1	1086120	1086338	-	219	0	0	0	0	0	0	0	0
SAUSA300_RS05335	NC_007793.1	1086367	1086489	-	123	0	0	0	0	0	0	0	0
SAUSA300_RS05340	NC_007793.1	1086819	1087370	-	552	54	0	30	10	20	14	29	16
SAUSA300_RS05345	NC_007793.1	1087735	1088361	+	627	12	12	18	2	10	10	6	0
SAUSA300_RS05350	NC_007793.1	1088532	1089644	+	1113	13587	3089	3727	13143	7415	8471	25797	2430
SAUSA300_RS05355	NC_007793.1	1089648	1090625	+	978	8525	1984	6620	9243	4454	6010	20209	1316
SAUSA300_RS05360	NC_007793.1	1090716	1092008	+	1293	34136	8298	20128	29752	24645	25218	71338	6649
SAUSA300_RS05365	NC_007793.1	1092012	1093418	+	1407	54041	17606	21648	41226	34019	18590	67457	12976
SAUSA300_RS05370	NC_007793.1	1093586	1093861	+	276	0	0	0	0	0	2	0	0
SAUSA300_RS05375	NC_007793.1	1094005	1094544	+	540	0	0	14	0	0	0	0	0
SAUSA300_RS05380	NC_007793.1	1094557	1095651	+	1095	12	0	22	6	11	8	10	2
SAUSA300_RS05385	NC_007793.1	1095644	1096441	+	798	1	0	12	0	4	0	2	0
SAUSA300_RS05390	NC_007793.1	1096447	1097256	+	810	2	0	0	0	0	0	0	0
SAUSA300_RS05395	NC_007793.1	1097256	1098329	+	1074	126	10	49	61	48	33	70	30
SAUSA300_RS05400	NC_007793.1	1098403	1099422	+	1020	1937	762	1755	798	1398	655	1453	963
SAUSA300_RS05405	NC_007793.1	1099705	1100124	+	420	48	1	9	10	19	12	6	4
SAUSA300_RS05410	NC_007793.1	1100206	1101558	-	1353	974	96	256	322	559	766	708	158
SAUSA300_RS05415	NC_007793.1	1101742	1102356	-	615	58	16	22	8	26	15	44	8
SAUSA300_RS05420	NC_007793.1	1102513	1103340	+	828	849	148	232	590	607	237	661	228
SAUSA300_RS05425	NC_007793.1	1103494	1103685	-	192	22	26	27	18	20	26	9	10
SAUSA300_RS05430	NC_007793.1	1103787	1105634	+	1848	133	24	31	46	82	14	246	56
